ANNUAL MEAN TSI: Lean (GRL 2000) with Wang Lean Sheeley (ApJ 2005) background
Mon Apr  6 11:29:27 2009  PMOD absolute scale - multiply by 0.9965 for TIM scale
  1739.5      1365.9636      1365.5795
  1740.5      1365.6599      1365.2811
  1741.5      1366.0001      1365.6107
  1742.5      1365.7078      1365.3247
  1743.5      1365.6530      1365.2698
  1744.5      1365.5946      1365.2137
  1745.5      1365.5946      1365.2164
  1746.5      1365.5946      1365.2223
  1747.5      1365.5946      1365.2305
  1748.5      1366.0233      1365.6548
  1749.5      1366.0388      1365.6749
  1750.5      1366.0023      1365.6385
  1751.5      1365.8314      1365.4680
  1752.5      1365.7985      1365.4402
  1753.5      1365.7626      1365.4220
  1754.5      1365.6565      1365.3351
  1755.5      1365.6277      1365.3220
  1756.5      1365.6459      1365.3501
  1757.5      1365.7689      1365.4734
  1758.5      1365.8806      1365.5867
  1759.5      1365.9425      1365.6501
  1760.5      1365.9144      1365.6254
  1761.5      1366.0760      1365.7898
  1762.5      1365.9193      1365.6514
  1763.5      1365.8350      1365.5811
  1764.5      1365.8090      1365.5573
  1765.5      1365.6537      1365.4065
  1766.5      1365.6206      1365.3759
  1767.5      1365.8329      1365.5817
  1768.5      1366.0957      1365.8346
  1769.5      1366.2869      1366.0194
  1770.5      1366.2806      1366.0220
  1771.5      1366.1527      1365.9155
  1772.5      1366.0599      1365.8433
  1773.5      1365.8224      1365.6243
  1774.5      1365.7760      1365.5862
  1775.5      1365.6339      1365.4493
  1776.5      1365.6937      1365.5039
  1777.5      1365.8638      1365.6656
  1778.5      1366.1007      1365.8955
  1779.5      1366.1625      1365.9534
  1780.5      1365.9812      1365.7753
  1781.5      1366.0944      1365.8868
  1782.5      1365.8258      1365.6217
  1783.5      1365.7429      1365.5284
  1784.5      1365.6283      1365.3966
  1785.5      1365.7070      1365.4558
  1786.5      1366.0396      1365.7682
  1787.5      1366.2216      1365.9337
  1788.5      1366.1744      1365.8801
  1789.5      1366.1548      1365.8595
  1790.5      1366.0521      1365.7604
  1791.5      1365.8982      1365.6101
  1792.5      1365.8898      1365.5961
  1793.5      1365.8828      1365.5756
  1794.5      1365.8069      1365.4816
  1795.5      1365.7050      1365.3645
  1796.5      1365.6909      1365.3348
  1797.5      1365.6487      1365.2817
  1798.5      1365.6277      1365.2567
  1799.5      1365.6339      1365.2629
  1800.5      1365.6719      1365.3035
  1801.5      1365.9537      1365.5757
  1802.5      1365.8428      1365.4541
  1803.5      1365.7246      1365.3218
  1804.5      1365.7465      1365.3257
  1805.5      1365.7745      1365.3361
  1806.5      1365.6881      1365.2385
  1807.5      1365.6298      1365.1710
  1808.5      1365.6193      1365.1458
  1809.5      1365.6030      1365.1180
  1810.5      1365.5946      1365.1094
  1811.5      1365.5967      1365.1222
  1812.5      1365.6227      1365.1631
  1813.5      1365.6586      1365.2117
  1814.5      1365.6677      1365.2355
  1815.5      1365.7126      1365.2906
  1816.5      1365.8110      1365.3866
  1817.5      1365.7914      1365.3600
  1818.5      1365.7471      1365.3119
  1819.5      1365.7295      1365.2968
  1820.5      1365.6698      1365.2410
  1821.5      1365.6249      1365.2194
  1822.5      1365.6157      1365.2432
  1823.5      1365.6030      1365.2483
  1824.5      1365.6305      1365.2893
  1825.5      1365.6958      1365.3627
  1826.5      1365.7957      1365.4659
  1827.5      1365.9066      1365.5771
  1828.5      1365.9952      1365.6646
  1829.5      1366.0107      1365.6825
  1830.5      1366.0465      1365.7235
  1831.5      1365.8701      1365.5585
  1832.5      1365.7542      1365.4565
  1833.5      1365.6403      1365.3612
  1834.5      1365.6635      1365.3966
  1835.5      1365.9200      1365.6577
  1836.5      1366.2988      1366.0393
  1837.5      1366.3635      1366.1127
  1838.5      1366.1387      1365.8997
  1839.5      1366.0521      1365.8174
  1840.5      1365.9341      1365.7007
  1841.5      1365.7816      1365.5490
  1842.5      1365.7267      1365.4940
  1843.5      1365.6522      1365.4237
  1844.5      1365.6775      1365.4543
  1845.5      1365.8041      1365.5820
  1846.5      1365.9025      1365.6803
  1847.5      1366.0023      1365.7816
  1848.5      1366.1976      1365.9781
  1849.5      1366.1829      1365.9691
  1850.5      1365.9812      1365.7698
  1851.5      1366.0029      1365.7744
  1852.5      1365.9446      1365.6947
  1853.5      1365.8448      1365.5848
  1854.5      1365.7162      1365.4614
  1855.5      1365.6262      1365.3828
  1856.5      1365.6163      1365.3853
  1857.5      1365.7169      1365.4946
  1858.5      1365.9066      1365.6875
  1859.5      1366.1260      1365.9054
  1860.5      1366.1963      1365.9718
  1861.5      1366.0916      1365.8623
  1862.5      1365.9496      1365.7120
  1863.5      1365.8821      1365.6283
  1864.5      1365.8370      1365.5660
  1865.5      1365.7534      1365.4755
  1866.5      1365.6909      1365.4119
  1867.5      1365.6382      1365.3597
  1868.5      1365.7977      1365.5194
  1869.5      1366.0325      1365.7557
  1870.5      1366.2708      1365.9944
  1871.5      1366.2054      1365.9343
  1872.5      1366.1576      1365.8876
  1873.5      1365.9580      1365.6866
  1874.5      1365.8406      1365.5582
  1875.5      1365.7035      1365.4095
  1876.5      1365.6586      1365.3593
  1877.5      1365.6543      1365.3596
  1878.5      1365.6135      1365.3309
  1879.5      1365.6255      1365.3533
  1880.5      1365.7689      1365.5000
  1881.5      1365.9124      1365.6443
  1882.5      1365.9313      1365.6676
  1883.5      1365.9791      1365.7147
  1884.5      1365.8812      1365.6166
  1885.5      1365.7909      1365.5070
  1886.5      1365.6487      1365.3417
  1887.5      1365.6234      1365.2982
  1888.5      1365.5962      1365.2628
  1889.5      1365.5652      1365.2344
  1890.5      1365.5912      1365.2690
  1891.5      1365.8303      1365.5204
  1892.5      1365.9163      1365.6190
  1893.5      1366.0458      1365.7600
  1894.5      1366.1332      1365.8553
  1895.5      1366.0166      1365.7390
  1896.5      1365.8434      1365.5581
  1897.5      1365.7094      1365.4126
  1898.5      1365.6982      1365.3899
  1899.5      1365.6534      1365.3381
  1900.5      1365.6216      1365.3074
  1901.5      1365.5294      1365.2292
  1902.5      1365.5165      1365.2378
  1903.5      1365.7083      1365.4479
  1904.5      1365.9651      1365.7180
  1905.5      1365.7684      1365.5291
  1906.5      1365.9651      1365.7255
  1907.5      1365.8604      1365.6097
  1908.5      1365.9426      1365.6748
  1909.5      1365.8459      1365.5642
  1910.5      1365.7173      1365.4309
  1911.5      1365.6285      1365.3473
  1912.5      1365.5706      1365.3010
  1913.5      1365.5739      1365.3175
  1914.5      1365.6302      1365.3844
  1915.5      1365.9285      1365.6890
  1916.5      1366.1349      1365.8990
  1917.5      1366.2821      1366.0480
  1918.5      1366.2454      1366.0096
  1919.5      1366.0179      1365.7802
  1920.5      1365.8523      1365.6178
  1921.5      1365.7351      1365.5127
  1922.5      1365.6019      1365.3948
  1923.5      1365.6211      1365.4265
  1924.5      1365.6436      1365.4581
  1925.5      1365.8406      1365.6622
  1926.5      1365.9348      1365.7633
  1927.5      1366.1135      1365.9468
  1928.5      1365.9885      1365.8245
  1929.5      1365.9429      1365.7833
  1930.5      1365.9159      1365.7655
  1931.5      1365.7780      1365.6436
  1932.5      1365.6583      1365.5364
  1933.5      1365.5300      1365.4156
  1934.5      1365.6361      1365.5275
  1935.5      1365.8500      1365.7439
  1936.5      1366.2373      1366.1333
  1937.5      1366.1718      1366.0676
  1938.5      1366.1079      1366.0031
  1939.5      1366.0894      1365.9868
  1940.5      1366.0143      1365.9242
  1941.5      1365.9130      1365.8451
  1942.5      1365.7847      1365.7419
  1943.5      1365.6052      1365.5841
  1944.5      1365.6224      1365.6140
  1945.5      1365.8850      1365.8810
  1946.5      1365.9818      1365.9791
  1947.5      1366.2190      1366.2185
  1948.5      1366.3475      1366.3490
  1949.5      1366.2528      1366.2555
  1950.5      1366.0098      1366.0131
  1951.5      1365.7721      1365.7765
  1952.5      1365.7653      1365.7676
  1953.5      1365.6313      1365.6284
  1954.5      1365.6599      1365.6564
  1955.5      1365.7793      1365.7773
  1956.5      1366.3097      1366.3109
  1957.5      1366.6632      1366.6681
  1958.5      1366.6246      1366.6328
  1959.5      1366.3717      1366.3828
  1960.5      1366.2682      1366.2767
  1961.5      1365.9230      1365.9199
  1962.5      1365.7656      1365.7484
  1963.5      1365.7152      1365.6963
  1964.5      1365.7114      1365.6976
  1965.5      1365.7378      1365.7341
  1966.5      1365.9058      1365.9178
  1967.5      1366.0889      1366.1143
  1968.5      1366.1295      1366.1644
  1969.5      1366.2069      1366.2476
  1970.5      1366.2036      1366.2426
  1971.5      1365.9354      1365.9580
  1972.5      1366.0519      1366.0525
  1973.5      1365.8131      1365.7991
  1974.5      1365.7448      1365.7271
  1975.5      1365.5466      1365.5345
  1976.5      1365.6458      1365.6453
  1977.5      1365.8248      1365.8331
  1978.5      1366.2616      1366.2747
  1979.5      1366.6193      1366.6348
  1980.5      1366.6323      1366.6482
  1981.5      1366.6829      1366.6951
  1982.5      1366.2808      1366.2859
  1983.5      1366.1989      1366.1992
  1984.5      1365.8088      1365.8103
  1985.5      1365.6382      1365.6416
  1986.5      1365.6345      1365.6379
  1987.5      1365.7865      1365.7899
  1988.5      1366.0792      1366.0826
  1989.5      1366.6445      1366.6479
  1990.5      1366.5499      1366.5533
  1991.5      1366.4423      1366.4457
  1992.5      1366.2987      1366.3021
  1993.5      1366.0251      1366.0286
  1994.5      1365.7937      1365.7971
  1995.5      1365.6962      1365.6996
  1996.5      1365.6086      1365.6121
  1997.5      1365.7365      1365.7399
  1998.5      1366.0986      1366.1021
  1999.5      1366.3817      1366.3851
  2000.5      1366.6836      1366.6836
  2001.5      1366.6022      1366.6022
  2002.5      1366.6807      1366.6807
  2003.5      1366.2300      1366.2300
  2004.5      1366.0480      1366.0480
  2005.5      1365.8545      1365.8545
  2006.5      1365.8107      1365.8107
  2007.5      1365.7240      1365.7240
  2008.5      1365.6918      1365.6918
